"System","Cali.User.Selection","Analyt.User.Selection","Chromatography","Report.File","Cali.Default.File","SAA.Menue","FullName","Solids","Method","Element","Analyt","Signal.Name","SAA","Version","QC.Kind","QC.Name","QC.RegEx","Filename","Zielwert","Unsicherheit","LimitBG","Unit.Accept","QC.Norm","Unit.Norm","Datum.Val","Datum.Reval","Datum.Next.Reval","Operator.Reval","BGMethod","Significant.Digits","Alpha","Masse","UseMeans","UseIntCorr","outlier","BG.SAA","QC.Spike"
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Fe",,,"5.1.1","2","VBW","Fe_VBW",,"SAA_5.1.1_Fe_VBW.csv",,,2.5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Fe",,,"5.1.1","2","QC","Fe_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Fe_NBS1633c.csv",100,20,,"%",10.49,"%",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","K","K_7664_44","K_7664_44","5.1.1","2","VBW","K_VBW",,"SAA_5.1.1_K_VBW.csv",,,5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","K","K_7664_44","K_7664_44","5.1.1","2","QC","K_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_K_NBS1633c.csv",100,20,,"%",1773,"%",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Mg",,,"5.1.1","2","VBW","Mg_VBW",,"SAA_5.1.1_Mg_VBW.csv",,,2.5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Mg",,,"5.1.1","2","QC","Mg_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Mg_NBS1633c.csv",100,20,,"%",498,"%",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Mn",,,"5.1.1","2","VBW","Mn_VBW",,"SAA_5.1.1_Mn_VBW.csv",,,2.5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Mn",,,"5.1.1","2","QC","Mn_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Mn_NBS1633c.csv",100,20,,"%",240.2,"mg/kg",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Na",,,"5.1.1","2","VBW","Na_VBW",,"SAA_5.1.1_Na_VBW.csv",,,10,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Na",,,"5.1.1","2","QC","Na_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Na_NBS1633c.csv",100,20,,"%",0.1707,"%",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
