"Labels","StartTime","Intensity","Concentration","Comment","TimeStamp","Operator","Outlier"
"M 220210/004 QC VBW","2022-02-10 14:31:25","20.0727598546112","0.162062199304802","03.02.2022 BW","2022-02-17","Schützmann","0"
"M 220127/001 QC VBW","2022-02-10 12:48:31","14.6909290473066","-0.161910718280943","27.01.2022 BW","2022-02-17","Schützmann","0"
"M 220119/004 QC VBW","2022-01-28 12:47:07","21.7818542837119","-0.186039155781145","19.01.2022 BW","2022-01-31","Schützmann","0"
"M 220119/004 QC VBW","2022-01-27 17:24:41","19.8909575275477","-0.290091288363053","19.01.2022 BW","2022-01-31","Schützmann","0"
"M 220111/001 QC VBW","2022-01-11 12:14:26","14.1818383127636","0.357909871126834","03.01.2022 BW","2022-01-12","Schützmann","0"
"M 220105/001 QC VBW","2022-01-10 13:05:55","35.1273518547659","0.908363278854451","27.12.2021 BW","2022-01-12","Schützmann","0"
"M 211220/001 QC VBW","2021-12-21 18:48:05","41.2001053385071","0.0512560560440584","20.12.2021 BW","2021-12-22","Schützmann","0"
"M 211214/001 QC VBW","2021-12-21 17:36:50","40.1455539784822","-0.11564820652556","14.12.2021 BW","2022-01-03","Schützmann","0"
"M 211216/021 QC VBW","2021-12-21 16:25:38","42.7273937751886","0.038725345237015","16.12.2021 BW","2021-12-22","Schützmann","0"
"M 211215/016 QC VBW","2021-12-21 11:19:45","46.7274050040985","0.391250476174358","15.12.2021 BW","2021-12-22","Schützmann","0"
"M 211217/027 QC VBW","2021-12-17 22:38:49","10.8727410327485","0.068176697569292","v. 13.12.2021","2021-12-20","Schastok","0"
"M 211217/025 QC VBW","2021-12-17 22:30:51","13.4909280873055","0.21931958404048","v. 02.12.2021","2021-12-20","Schastok","0"
"M 211217/005 QC VBW","2021-12-17 20:44:04","12.2545620073001","0.0541435456392843","v. 24.11.2021","2021-12-20","Schastok","0"
"M 211217/003 QC VBW","2021-12-17 20:36:12","53.3819768442107","1.72638680891536","v. 24.11.2021 Swabs","2021-12-20","Schastok","0"
"M 211217/001 QC VBW","2021-12-17 20:28:14","11.636379112753","0.0842630047238629","v. 17.11.2021","2021-12-20","Schastok","0"
"M 211217/005 QC VBW","2021-12-17 16:28:55","20.2545829528172","-0.0029849815032485","v. 24.11.2021","2021-12-20","Schastok","0"
"M 211217/003 QC VBW","2021-12-17 16:21:03","54.8728959715299","1.95053692819132","v. 24.11.2021 Swabs","2021-12-20","Schastok","0"
"M 211217/001 QC VBW","2021-12-17 16:13:05","21.672764334623","0.00779442612072704","v. 17.11.2021","2021-12-20","Schastok","0"
"M 211217/005 QC VBW","2021-12-17 12:24:34","18.9818486691515","-0.0669341523822173","v. 24.11.2021","2022-01-14","Schützmann","0"
"M 211217/003 QC VBW","2021-12-17 12:08:48","60.7638329316818","1.80745536084324","v. 24.11.2021 Swabs","2022-01-14","Schützmann","0"
"M 211217/001 QC VBW","2021-12-17 11:52:57","22.5454948073642","-0.0298014824281212","v. 17.11.2021","2022-01-14","Schützmann","0"
"M 211104/064 QC VBW","2021-12-07 11:26:47","28.6546028801411","0.577670045854432","","","","0"
"M 211118/006 QC VBW","2021-11-18 12:23:49","21.2363994182584","0.201174145128121","","","","0"
"M 211116/001 QC VBW","2021-11-16 14:33:35","14.1818384873097","0.0049064176868246","","","","0"
"M 211104/064 QC VBW ","2021-11-04 12:23:57","18.6909385891501","0.217784730604192","","","","0"
"M 211026/012 QC VBW ","2021-10-27 14:49:58","19.1273033309702","0.140572495845034","v. 25.10","2021-10-28","Mönkemeyer","0"
"M 211026/010 QC VBW ","2021-10-27 14:42:01","31.5273432729302","0.567623900920065","v. 15.10","2021-10-28","Mönkemeyer","0"
"M 211021/039 QC VBW ","2021-10-21 12:29:44","38.2910017457282","0.110063881013878","v. 30.09. VZ","2021-10-25","Schastok","0"
"M 211020/019 QC VBW ","2021-10-20 12:40:18","73.2366433176342","1.48343128457492","v. 20.10","2021-10-25","Mönkemeyer","0"
"M 211020/011 QC VBW ","2021-10-20 12:32:20","33.4182550983804","0.126476239867308","v. 07.10","2021-10-25","Mönkemeyer","0"
"M 211018/006 QC VBW","2021-10-19 12:07:08","26.945507229225","-0.0471820433363743","v. 18.10","2021-10-20","Mönkemeyer","0"
"M 211019/003 QC VBW ","2021-10-19 11:59:12","33.1273468220254","0.0422971891173623","v. 27.09","2021-10-20","Mönkemeyer","0"
"M 211005/025 QC VBW ","2021-10-13 10:43:07","32.5455254401998","0.284910975205104","v. 17.09","2021-10-14","Mönkemeyer","0"
"M 211004/003 QC VBW ","2021-10-04 12:29:48","177.165051881549","0.803767699160657","v. 13.09","2021-10-14","Mönkemeyer","0"
"M 211004/001 QC VBW ","2021-10-04 12:22:12","147.346454465737","0.302471348369731","v. 03.09","2021-10-14","Mönkemeyer","0"
"M 210901/001 QC VBW","2021-09-01 11:19:26","99.3095711154062","-0.993061263513248","","","","0"
"M 210830/002 QC VBW ","2021-09-01 11:07:32","108.218735595925","-0.76839138477649","","","","0"
"M 210819/043 QC VBW","2021-08-19 13:47:23","26.6545981965027","-0.43573975027821","","","","0"
"M 210812/002 QC VBW","2021-08-12 11:53:11","52.5819717823587","0.438712422708075","VZ  10.08.2021","2021-08-13","Schastok","0"
"M 210812/001 QC VBW ","2021-08-12 11:45:16","20.9818542255353","-0.270658063044321","PB  10.08.2021","2021-08-13","Schastok","0"
"M 210802/001 QC VBW","2021-08-05 12:16:56","28.1818740655976","0.259191140456476","","","","0"
"M 210804/001 QC VBW","2021-08-04 12:03:44","39.4182774693759","0.568408605470163","","","","0"
"M 210720/001 QC VBW","2021-07-27 13:33:43","25.6000512001299","-0.0995543272216486","v. 20.07.21","2021-07-28","Mönkemeyer","0"
"M 210715/002 QC VBW","2021-07-27 13:21:53","20.3636716218971","-0.256610746735191","v. 15.07.21","2021-07-28","Mönkemeyer","0"
"M 210727/007 QC VBW","2021-07-27 13:10:06","15.0909308218579","-0.578055234584598","v. 06.07.21","2021-07-28","Mönkemeyer","0"
"M 210705/006 QC VBW","2021-07-05 11:24:46","26.8727795492183","-0.371359118340051","v. 17.06.21","2021-07-05","Mönkemeyer","0"
"M 210628/007 QC VBW","2021-06-29 12:56:13","76.8730274922826","-0.397815555706325","v. 28.06","2021-06-29","Mönkemeyer","0"
"M 210624/003 QC VBW","2021-06-29 12:44:19","66.5093264591904","-0.667971133071604","v. 24.06","2021-06-29","Mönkemeyer","0"
"M 210623/001 QC VBW","2021-06-29 12:32:28","107.250556203284","0.339785809963433","v. 23.06","2021-06-29","Mönkemeyer","0"
"M 210629/007 QC VBW","2021-06-29 12:24:35","71.7820883211962","-0.580253706886985","v. 10.06","2021-06-29","Mönkemeyer","0"
"M 210621/001 QC VBW","2021-06-21 11:57:33","112.073338883799","-3.00193536727679","","","","0"
"M 210611/004 QC VBW 02.06","2021-06-16 11:36:53","152.29197830658","0.565795406242935","","","","0"
"M 210611/002 QC VBW 27.05","2021-06-16 11:28:56","140.728186944852","0.731166229116898","","","","0"
"M 210420/022 QC VBW 11.05","2021-05-25 12:28:35","29.8909755347347","-0.052625231414811","","","","0"
"M 210520/020 QC VBW 30.04","2021-05-25 12:20:44","30.8364286256279","0.0164276153023985","","","","0"
"M 210520/018 QC VBW 26.04","2021-05-25 12:12:50","35.9273552293281","0.298060942421932","","","","0"
"M 210421/004 QC VBW","2021-04-26 14:18:10","64.4002205972753","0.0911738354946106","","","","0"
"M 210420/001 QC VBW","2021-04-26 14:06:23","109.236931610608","0.633046155344469","","","","0"
"M 210407/049 QC VBW","2021-04-08 12:02:35","80.4574684358261","0.641060214979715","","","","0"
"M 210325/01 QC VBW","2021-03-25 12:27:20","84.2225845706991","0.674045624528786","","","","0"
"M 210308/01 QC VBW","2021-03-10 10:57:54","311.931423593047","4.67277212366257","Siehe Kommentar vom Vortag","2021-03-10","Dronov","0"
"M 210303/01 QC VBW","2021-03-10 10:53:57","72.6911839721512","0.819124649751653","","","","0"
"M 210302/01 QC VBW","2021-03-10 10:49:58","78.3275843505513","0.90991497881415","","","","0"
"M 210308/01 QC VBW","2021-03-09 14:31:44","567.359340407897","6.8441289141097","Korreliert mit Pt-Spezies (MM3) Analyse 08.03.2021. Es konnte keine Spezies zugeordnet werden.","2021-03-10","Dronov","0"
"M 210303/01 QC VBW","2021-03-09 14:27:48","80.4367017325987","0.479338009284751","","","","0"
"M 210302/01 QC VBW","2021-03-09 14:23:50","89.4185744019855","0.599044118458673","","","","0"
"M 210217/006 QC VBW","2021-02-19 12:28:38","21.9636747637201","0.0509936607212425","","","","0"
"M 210217/006 QC VBW","2021-02-18 17:52:50","46.4728580659085","-0.195751928310354","","","","0"
"M 210209/001 QC VBW","2021-02-12 12:05:17","61.0547430698416","-0.867547360668041","","","","0"
"M 210204/001 QC VBW","2021-02-04 12:22:38","26.0727739055564","0.309403398380763","","","","0"
"M 210125/011 QC VBW","2021-01-26 14:44:14","45.0910265021893","0.64467261066723","","","","0"
"M 210107/014 QC VBW","2021-01-19 15:24:19","30.945518167431","0.582841494204478","","","","0"
"M 210107/025 QC VBW","2021-01-08 10:38:02","34.48895992907","0.620556072478355","","","","0"
"M 201204/009 QC VBW v.04.12.2020","2020-12-10 12:26:36","25.4800468801068","0.236449550286182","","","","0"
"M 201210/077 QC VBW v. 09.12.2020","2020-12-10 12:22:40","36.1600777602004","0.427703781528777","","","","0"
"M 201119/01 QC VBW v.19.11.2020","2020-11-19 18:54:14","84.0003547362873","0.74958990012016","","","","0"
"M 201118/01 QC VBW v.18.11.2020","2020-11-19 18:50:15","60.1092855571143","0.358242746029832","","","","0"
"M 201112/23 QC VBW v.11.11.2020","2020-11-12 13:06:45","57.3335165162516","1.36007135564555","","","","0"
"M 201105/03 QC VBW v. 05.11.2020","2020-11-05 16:13:18","41.1637370766663","0.770381843832147","","","","0"
"M 201105/01 QC VBW v. 28.10.2020","2020-11-05 16:09:32","28.7273299201481","0.456681331612041","","","","0"
"M 201022/06 QC VBW ","2020-10-22 16:00:32","94.0448833446192","0.440003543661189","","","","0"
"M 201015/01 QC VBW ","2020-10-15 15:54:05","61.0911102262375","0.200748238799377","","","","0"
"M 201001/01 QC VBW ","2020-10-01 12:11:44","50.5455976150355","0.618046722477658","","","","0"
"M 200923/62 QC VBW 22.09.","2020-09-23 11:22:24","67.6002412519103","0.617405047475541","","","","0"
"M 200923/60 QC VBW 21.09.","2020-09-23 11:18:34","45.8667918937607","0.303616528740685","","","","0"
"M 200917/03 QC VBW","2020-09-21 10:44:27","26.3000398000747","0.153923051969046","","","","0"
"M 200911/03 QC VBW v. 10.09.20","2020-09-11 11:27:23","47.7002956023184","0.278337013824419","","","","0"
"M 200911/01 QC VBW v. 04.09.20","2020-09-11 11:24:23","38.6002336017696","0.180765634862012","","","","0"
