"Labels","StartTime","Concentration","WFR","Defined","Comment","TimeStamp","Operator","Outlier"
"M 210420/023 QC MM2 11.05","2021-05-25 12:32:31","41.2029966441371","82.4059932882741","50","","","","0"
"M 210420/021 QC MM2 30.04","2021-05-25 12:24:40","41.7729300774459","83.5458601548918","50","","","","0"
"M 210420/019 QC MM2 26.04","2021-05-25 12:16:49","41.5199884178505","83.039976835701","50","","","","0"
"M 210421/005 QC MM2","2021-04-26 14:22:06","39.3630233160362","78.7260466320723","50","","","","0"
"M 210420/002 QC MM2","2021-04-26 14:10:18","43.1012905792216","86.2025811584432","50","","","","0"
"M 210407/050 QC MM2","2021-04-08 12:06:34","43.4938286406141","86.9876572812282","50","","","","0"
"M 210325/02 QC MM2","2021-03-25 12:31:19","46.1339169579022","92.2678339158045","50","","","","0"
"M 210308/02 QC MM2","2021-03-10 11:17:37","44.9102922907712","89.8205845815424","50","","","","0"
"M 210303/02 QC MM2","2021-03-10 11:09:43","46.1402204232304","92.2804408464608","50","","","","0"
"M 210302/02 QC MM2","2021-03-10 11:01:51","40.7958941998291","81.5917883996582","50","","","","0"
"M 210308/02 QC MM2","2021-03-09 14:51:23","44.8699999364024","89.7399998728048","50","","","","0"
"M 210303/02 QC MM2","2021-03-09 14:43:31","44.616026024889","89.2320520497779","50","","","","0"
"M 210302/02 QC MM2","2021-03-09 14:35:40","44.9036056179573","89.8072112359146","50","","","","0"
"M 210217/007 QC MM2","2021-02-19 12:32:36","46.1588289395805","92.317657879161","50","","","","0"
"M 210217/007 QC MM2","2021-02-18 17:56:48","40.381120964657","80.762241929314","50","","","","0"
"M 210209/002 QC MM2","2021-02-12 12:09:05","36.7872515867949","99.425004288635","37","","","","0"
"M 210204/002 QC MM2","2021-02-04 12:26:27","39.9978266176143","79.9956532352285","50","","","","0"
"M 210125/012 QC MM2","2021-01-26 14:48:02","43.1043292028568","86.2086584057135","50","","","","0"
"M 210107/015 QC MM2","2021-01-19 15:28:17","49.4605309573781","98.9210619147562","50","","","","0"
"M 210107/026 QC MM2","2021-01-08 10:42:01","40.9944889777631","81.9889779555262","50","","","","0"
"M 201204/010 QC MM2 v.04.12.2020","2020-12-10 12:34:29","40.7230629006578","81.4461258013157","50","","","","0"
"M 201210/078 QC MM2 v.09.12.2020","2020-12-10 12:30:32","41.0434634433115","82.086926886623","50","","","","0"
"M 201119/03 QC MM2 v.19.11.2020","2020-11-19 19:09:59","43.7791718007477","87.5583436014954","50","","","","0"
"M 201118/03 QC MM2 v.18.11.2020","2020-11-19 19:06:02","41.2289481922569","82.4578963845137","50","","","","0"
"M 201112/24 QC MM2 v.11.11.2020","2020-11-12 13:10:34","49.8107695965092","99.6215391930184","50","","","","0"
"M 201105/05 QC MM2 v. 05.11.2020","2020-11-05 16:24:34","47.6443076761501","95.2886153523003","50","","","","0"
"M 201105/02 QC MM2 v. 28.10.2020","2020-11-05 16:20:49","45.7042949981887","91.4085899963773","50","","","","0"
"M 201022/07 QC MM2 ","2020-10-22 16:04:20","21.7817054389257","90.7571059955238","24","","","","0"
"M 201015/02 QC MM2 ","2020-10-15 15:57:55","44.2474651645309","88.4949303290617","50","","","","0"
"M 201001/02 QC MM2 ","2020-10-01 12:15:33","38.858842540438","77.717685080876","50","","","","0"
"M 200923/63 QC MM2 22.09.","2020-09-23 11:30:01","48.2338112177706","96.4676224355412","50","","","","0"
"M 200923/61 QC MM2 21.09.","2020-09-23 11:26:14","48.6456057363835","97.291211472767","50","","","","0"
"M 200917/04 QC MM2 ","2020-09-21 10:49:39","41.1712329664295","82.3424659328591","50","","","","0"
"M 200911/02 QC MM2 v. 04.09.20","2020-09-11 11:30:22","38.7499376014393","77.4998752028787","50","","","","0"
"M 200827/05 QC MM2 Kali","2020-08-27 14:32:10","45.4203523961706","90.8407047923412","50","","","","0"
"M 200827/04 QC MM2 Kühl","2020-08-27 14:28:25","43.2640274306747","86.5280548613494","50","","","","0"
"M 200827/02 QC MM2","2020-08-27 14:24:40","42.008219186069","84.0164383721381","50","","","","0"
"M 200812/04 QC MM2","2020-08-14 10:40:56","39.147315596805","78.29463119361","50","","","","0"
"M 200806/48 QC MM2","2020-08-07 10:45:08","47.2931249671656","94.5862499343311","50","","","","0"
"M 200723/53 QC MM2 v. 23.07.20","2020-07-24 10:50:32","43.5636236831657","87.1272473663313","50","","","","0"
"M 200723/47 QC MM2 v. 17.07.20","2020-07-24 10:47:45","41.4389886441817","82.8779772883635","50","","","","0"
"M 200625/05 QC MM2 v. 25.06.20","2020-06-25 13:47:45","44.9399356303343","89.8798712606685","50","","","","0"
"M 200625/03 QC MM2 v. 18.06.20","2020-06-25 13:44:59","43.8887019250615","87.777403850123","50","","","","0"
"M 200605/04 QC MM2","2020-06-09 11:21:55","42.183817177338","84.3676343546761","50","","","","0"
"M 200528/36 QC MM2","2020-05-28 10:50:35","46.5316754827668","93.0633509655336","50","","","","0"
"M 200507/20 QC MM2","2020-05-20 10:59:23","40.8871660946922","81.7743321893844","50","","","","0"
"M 200507/20 QC MM2","2020-05-13 12:41:54","44.7282190163739","89.4564380327477","50","","","","0"
"M 200420/06 QC MM2","2020-04-21 13:54:21","47.3655025555627","94.7310051111255","50","","","","0"
"M 200417/06 QC MM2","2020-04-17 13:26:59","40.0289465099897","80.0578930199794","50","","","","0"
"M 200408/02 QC MM2","2020-04-08 10:34:39","41.1958988091112","82.3917976182223","50","","","","0"
"M 200326/03 QC MM2","2020-03-27 09:11:54","44.6465109339398","89.2930218678797","50","","","","0"
"M 200317/04 QC MM2","2020-03-17 15:45:33","49.1343958527125","98.268791705425","50","","","","0"
"M 200311/05 QC MM2","2020-03-11 15:28:21","52.0702604350909","104.140520870182","50","","","","0"
"M 200311/02 QC MM2","2020-03-11 15:25:18","42.4717362285931","84.9434724571861","50","","","","0"
"M 200220/308 QC MM2","2020-02-21 09:27:17","44.4152702463202","88.8305404926405","50","","","","0"
"M 200220/306 QC MM2","2020-02-21 09:24:14","49.9142572875081","99.8285145750162","50","","","","0"
"M 200206/47 QC MM2","2020-02-06 15:23:51","47.6835008024927","95.3670016049855","50","","","","0"
"M 200130/22 QC MM2","2020-01-30 12:09:50","46.8070707702847","93.6141415405694","50","","","","0"
"M 200122/03 QC MM2","2020-01-22 13:48:18","47.5605374519713","95.1210749039427","50","","","","0"
"M 200115/19 QC MM2","2020-01-16 08:59:48","44.8812611377679","89.7625222755357","50","","","","0"
"M 200109/56 QC MM2","2020-01-10 08:45:55","45.4010373218231","90.8020746436462","50","","","","0"
"M 191217/02 QC MM2","2019-12-17 12:15:38","46.5564362579262","93.1128725158524","50","","","","0"
"M 191216/34 QC MM2","2019-12-17 08:53:31","43.9068367552542","87.8136735105083","50","","","","0"
"M 191211/11 QC MM2.1","2019-12-12 12:04:07","46.71365918468","93.4273183693601","50","","","","0"
"M 191205/07 QC MM2.1","2019-12-05 11:11:22","49.6821727598606","99.3643455197212","50","","","","0"
"M 191205/05 QC MM2.1","2019-12-05 11:08:20","44.2975516974571","88.5951033949141","50","","","","0"
"M 191128/40 QC MM2.1","2019-11-28 12:11:42","46.3505908079405","92.701181615881","50","","","","0"
"M 191128/38 QC MM2.1","2019-11-28 12:08:39","41.4824833329207","82.9649666658415","50","","","","0"
"M 191120/17 QC MM2.1","2019-11-21 12:21:52","44.0145582026685","88.0291164053369","50","","","","0"
"M 191113/03 QC MM2.1","2019-11-13 14:04:17","47.0794403735888","94.1588807471776","50","","","","0"
"M 191112/08 QC MM2.1","2019-11-12 15:23:35","46.6370691124922","93.2741382249844","50","","","","0"
"M 191111/35 QC MM2.1","2019-11-12 15:20:35","46.8501124772492","93.7002249544984","50","","","","0"
"M191031/03 QC MM2.1","2019-10-31 13:17:59","44.4357444560972","88.8714889121944","50","","","","0"
"M 191030/32 QC MM2.1","2019-10-30 13:58:34","45.9574188543193","91.9148377086386","50","","","","0"
"M 191030/30 QC MM2.1","2019-10-30 13:55:31","48.0704515366343","96.1409030732686","50","","","","0"
"M 191024/02 QC MM2.1 ","2019-10-24 11:12:47","46.2653567202019","92.5307134404039","50","","","","0"
"M 191010/11 QC MM2.1 ","2019-10-11 10:05:26","42.2659895302544","84.5319790605089","50","","","","0"
"M 191008/03 QC MM2.1 ","2019-10-08 12:19:34","42.2360442412035","84.4720884824071","50","","","","0"
"M 191001/02 QC MM2.1 ","2019-10-01 11:37:58","44.9787972808462","89.9575945616925","50","","","","0"
"M 190925/11 QC MM2.1 ","2019-10-01 11:34:55","44.5558557136132","89.1117114272264","50","","","","0"
"M 190920/13 QC MM2.1 ","2019-09-20 11:24:01","48.4377062109424","96.8754124218848","50","","","","0"
