,,Raw.Average,Raw.Average,Raw.Average,Raw.STD,Raw.STD,Raw.STD,Raw.RSD,Raw.RSD,Raw.RSD,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,ExtCal.Average,ExtCal.Average,ExtCal.Average,ExtCal.STD,ExtCal.STD,ExtCal.STD,ExtCal.RSD,ExtCal.RSD,ExtCal.RSD,ExtCal.StandardConcentration,ExtCal.StandardConcentration,ExtCal.StandardConcentration,StartTime,BrigidMS,BrigidMS,BrigidMS,BrigidMS,BrigidMS,
,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,ExtCal,ExtCal,ExtCal,ExtCal,ExtCal,
,,187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),,Sample Type,Standard,Dilution Factor,Amount,Final Quantity,
,,Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (%),Y (%),Y (%),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (%),Y (ng/l),Y (ng/l),Y (%),Y (ng/l),Y (ng/l),Y (%),Y (%),Y (%),Y (%),Y (ng/l),Y (ng/l),,,,,,,
72,S0,277871.73323084792,35.772795618336737,37.227346200173436,5284.5107809493329,5.3542852232446281,3.2738755722055828,1.9017806235653023,14.967477745854676,8.7942759996959712,283544.169811612,36.000066400147361,37.000077200188315,289713.7806176882,38.50007740018328,40.500089000237367,276204.5052598691,39.000071200146394,32.500054200104557,275423.08339715807,29.500047400093042,33.000062400137757,275548.21384273691,40.500082600186005,39.000079200186235,277730.17354675534,36.000060400108957,37.500075000183116,274516.0613513157,35.500067000148718,42.500083400186313,279751.11608593364,28.000046800094726,40.500097000294957,278512.06909702189,44.000108400328159,36.500066200135436,269184.78334239055,27.500046200096087,33.500056600113837,276461.10918684519,39.000078000171364,37.000068000139841,106.90315567640499,-0.13901231159042116,-0.085907058276069079,2.0330635006333444,0.10183544007360633,0.058075072955996211,1.9017806235649502,73.256418016879763,67.602213510055734,,,,2019-02-01T12:53:09.9951107,UNKNOWN,,1,,,
73,Test MM3 0 ng/l,276430.87986969925,67.13657041888726,69.091129709868653,6285.6648501072295,5.9920755004791264,6.32387246319889,2.2738649361714192,8.9252034518483541,9.1529440750997271,283935.05001882341,62.000180800573936,70.5002378008772,275659.75516780891,60.500158600440741,73.000231600783522,262073.79476254218,71.000225200824488,67.000208400714882,276746.24571431166,74.000256400968013,62.000192400704961,287443.75841130846,60.500166600484874,55.000139600388955,276522.25805287232,60.500167800509374,72.500233400806977,274322.10682756465,70.000237600929935,76.000264001023055,276079.81358712807,76.50025140086953,66.000196000637459,276184.69179863849,63.000185200599525,71.000220000721285,277536.4180762649,72.000232000827026,76.5002754011028,274235.78614942852,68.50021300073243,70.500228200794169,106.34882879549917,0.48325826648127718,0.52518615131101287,2.4182287280101704,0.1334070625774175,0.13008839546303067,2.2738649361717402,27.605748691851105,24.769959211280291,,,,2019-02-01T12:56:29.551815,UNKNOWN,,1,,,
74,Test MM3 10 ng/l,272241.50409126072,767.61491387285719,798.29864703716669,4332.0303459802371,28.672189210313729,20.45050220475548,1.591245376211283,3.7352308679951998,2.5617608498594082,266542.17362930236,760.52336972497267,761.52362734660733,277241.51102136553,723.5211788268756,783.524745787368,268679.1386272895,769.52415897203912,816.526915895112,271963.74861203175,763.52361533961437,831.02807136291926,271774.95162182086,767.52378454324435,806.526755108853,267387.21561553172,788.02523922136788,781.02486720725051,279407.72003161546,750.02298791817236,808.52656348511653,276505.70554470911,720.52127524226808,788.02518401600878,275084.96453369485,794.02579565525866,792.02558004238358,268264.14055641129,806.52667950315913,821.52755194326778,271805.27521009493,800.02596765445765,791.025255213946,104.7370869827495,14.492189163989263,14.624858335587032,1.6666240537940453,0.73369457673878169,0.45032248136480091,1.5912453762138172,5.0626897595422893,3.0791579038343229,,,,2019-02-01T12:59:50.8293274,UNKNOWN,,1,,,
75,Test MM3 50 ng/l,273569.657538579,3583.5157901555895,3724.5118224540056,4914.7285725394686,111.77263075935429,122.31737322798024,1.7965181580294187,3.1190773894846249,3.284118269958606,259727.71041751816,3707.050983901036,3987.1369785548086,277975.17670931603,3368.4552565213016,3569.0124614137394,274144.72789133724,3449.9779258686831,3561.0098848013404,273270.18194349157,3534.5014341945475,3661.5389333276689,274528.56692598358,3528.4998658775644,3688.5458206085268,274454.04853250645,3611.0238813361584,3788.5761115107548,271641.40365397389,3666.5387993442719,3668.5404223195642,276756.8586571709,3598.5197565560511,3795.5775216822221,274901.21446704376,3647.032967436513,3753.564803982887,275040.54479249066,3557.5081020604753,3676.5424243003135,276825.79893353709,3749.5647186148758,3819.5846844922307,105.24805581390757,70.381802828813917,70.811849226242543,1.8908004336702651,3.0344587760360198,3.4220432884052894,1.7965181580298733,4.3114251895714855,4.8325856841726083,,,,2019-02-01T13:03:12.4258581,UNKNOWN,,1,,,
76,Test MM3 100 ng/l,277285.95535685332,7211.5447284444936,7448.0939880023707,10274.025669790453,332.79002659221874,327.06959997138006,3.7052095395773978,4.6146843585341033,4.3913194502947235,295637.71201625594,6909.9195187490059,6987.966279688846,294324.39059611206,6597.2451842641367,6929.4297466799326,259781.6834407656,7648.8529538697348,7818.4604913755593,281825.16354231571,6775.8392713432722,6993.4588192935553,275668.93475589884,7112.5273961625662,7438.2170029251984,270134.66654064262,7199.0800583840828,7438.2177896305757,273478.34553318337,7272.1197036877584,7587.8118395178626,273965.97756819369,7420.7080649695663,7677.8650972261075,273142.61680626788,7545.7814169362,7668.859821578737,277134.04507917922,7424.712121942418,7730.39411810803,275051.97304657218,7420.2063225806905,7658.3528620016677,106.6777944907697,140.84378015206664,140.73057559492602,3.9526358180824812,11.083681500760136,10.786783974562436,3.7052095395771265,7.8694859572735645,7.6648474782130789,,,,2019-02-01T13:06:34.2964044,UNKNOWN,,1,,,
77,Test MM3 500 ng/l,286083.60847785854,3716.3733600719283,3853.4610189353789,7574.3528381681181,130.37576170404623,140.20744279545926,2.6476011255829555,3.5081448786814811,3.638480890464419,284220.21219803073,3589.5182092104455,3745.5639357475311,285068.09890651278,3680.5445161554321,3872.102306678843,297046.06922443,3494.4906391955433,3486.9906246570108,276099.3351405373,3803.0812734788328,3935.623248524365,272726.68008341489,3924.6174177472326,3970.6328132130525,279067.598108637,3914.6143354388892,3966.6312679772827,287097.33319064567,3756.066465170325,3946.1255177555845,290102.72433530458,3655.5358799645255,3829.5888981303519,289925.27164584841,3724.0572015341158,3877.1043480901853,292741.0920440582,3628.0281321255179,3933.6211824484189,292825.2783790243,3709.5528907703565,3824.0870650665479,110.06243844230288,698.48865775507977,700.8784532936985,2.9140143590420959,41.841850030189832,39.93581076382182,2.6476011255826259,5.9903406541586808,5.6979652571923172,,,,2019-02-01T13:09:56.4329659,UNKNOWN,,10,,,
78,Test MM3 1000 ng/l,280740.69770269009,8030.9088929714981,8289.43941667596,9536.6841661508388,370.62211501975173,343.78802516424037,3.3969724532958079,4.6149460784459073,4.1473012574606445,291497.41550773859,7380.1841546347468,7772.9188013780422,283880.82633707806,7789.4419208495983,8100.1327221252286,282574.84016965533,7744.4064579164915,7992.0594103536732,254268.3195526416,8825.1199052896718,9124.8392846440966,275849.44934279472,8348.29026956396,8561.4364716902528,281439.38590621634,8228.2139820054254,8245.222520546984,281906.41464008682,7977.5520243451292,8173.1770321848035,284363.66920088686,8157.1683759428051,8267.235617895838,282096.66178684373,7910.0080865996279,8295.75728786853,284686.24873594596,8025.5782667763415,8312.2677398145279,285584.44354970305,7954.0343787626844,8338.7866949335621,108.00690722391711,1549.9355783699446,1547.6743560894479,3.6689648860529012,127.55499107165942,122.32238918410944,3.396972453295509,8.2296963081399834,7.9036257661582541,,,,2019-02-01T13:13:18.8645444,UNKNOWN,,10,,,
79,Test MM3 2000 ng/l,282065.56488852121,1530.8224540409565,1584.0561830186043,8969.8320369975845,82.2481442655649,89.222015206278442,3.1800521416156093,5.3728075420145611,5.6325032005023621,283339.06713971042,1496.0904127123508,1526.5939308202683,295517.721694111,1478.5892605084473,1554.5977432128191,295368.753667139,1439.5836943077807,1493.5897096151573,264299.5265550437,1420.5831107865122,1425.5834119912674,281559.43261685647,1538.5961382988928,1622.1065438898963,270853.51277551486,1679.6135515232697,1751.1238236362938,281275.49385563057,1472.0876132678081,1558.0980522318184,282483.45641501981,1623.1065170676486,1573.600337882672,281694.089914646,1582.6010903160859,1643.1088300646254,283350.28285736789,1502.5911745796029,1601.6028892285724,282979.87628269393,1605.6044310821228,1674.6127406312564,108.5166117605056,2869.0350262489646,2875.6408488533366,3.4508848362982705,200.54223657008629,198.73517607397221,3.1800521416152554,6.9898845686899582,6.9109873770647674,,,,2019-02-01T13:16:41.5941398,UNKNOWN,,100,,,
80,Test MM3 5000 ng/l,285088.53266872972,3702.5052946719125,3835.0001707944316,4851.99769404546,109.12105319134184,132.58411905023834,1.7019266431468278,2.9472220701040568,3.45721285907461,293526.5301522541,3477.4851935071174,3541.0037141717885,289300.86562016187,3582.0157560388056,3704.0509468812293,275393.8734459611,3622.5277937190176,3707.5520429255621,279908.01609204843,3661.0376838017605,3896.6084555916996,284355.2197918953,3734.5598346337365,3882.6064561066678,286140.95299962483,3707.5512705897045,3904.1127020417762,281970.3095636408,3741.0618136885255,3836.0897394446024,285787.34503377031,3775.0715037490759,3842.592588097707,287740.94530121551,3856.596786644574,3968.6325224135376,287561.939209543,3803.5807509851293,3964.1305308233714,284287.86214591091,3766.0698540335843,3937.6221802407986,109.67961165061638,6976.0141314045477,6993.7398692701572,1.8666665327842951,252.01071304150963,290.49582421014691,1.7019266431490914,3.6125315731086385,4.1536549777402865,,,,2019-02-01T13:20:01.9015968,UNKNOWN,,100,,,
81,Rinse,276419.21905861527,34.681881945594711,34.4091524183123,6009.2978872853628,4.5236912691974913,4.64123525729105,2.1739797644139491,13.043384659153684,13.488374258300585,272874.17719915416,31.000055200115362,36.500066200144076,273910.39375541406,32.500052600093042,32.500053800105043,287082.86996040819,38.000064400119356,42.000091600238079,275579.76782890642,33.500053400093194,32.500047400074806,266715.40574756108,30.000050000101766,29.000040800062727,287482.66617406491,44.000108800331041,30.000047600088315,274682.09352493339,37.000074800185438,34.000059200121129,275270.44866873336,33.000063200144965,43.500094200228716,276033.44985531917,28.500043800078487,35.0000620001256,273899.414046007,39.000070000139679,32.000060800144794,277080.72288426617,35.000065200139517,31.500053000101996,106.34434263388738,-0.15735443738506116,-0.13579136117676918,2.3119044894598582,0.078306790010414629,0.084720752833109869,2.1739797644140531,49.764589618016636,62.390384851377178,,,,2019-02-01T13:23:22.2250546,UNKNOWN,,1,,,
82,S4,281022.79628557,2362.3155681933958,2435.2387416312031,6062.845162293911,89.4259792828624,87.8203206421606,2.1574211211438388,3.7855221582970731,3.6062304340368554,292415.64440066804,2188.1922889616908,2252.2036360814773,287941.61000261025,2207.696260569438,2323.2168771420675,285435.53430145705,2305.7144139050465,2406.7325239474358,277062.84574625781,2400.731526226878,2435.7388165611442,273432.57072612364,2390.229203647651,2444.7404968071364,276891.25505361427,2428.2372685226028,2502.7518704884164,283999.26321832405,2419.7350655246755,2570.2654863534435,277839.47060033755,2406.2323497092648,2447.24120073404,273263.38266567967,2393.73044410691,2419.2347936546785,281959.66724639357,2457.7431484051381,2506.2526248065196,281009.515179804,2387.2292805480588,2479.2478313668707,108.11543653839995,44.886229297260087,44.79012277861991,2.3325052630965284,2.5043008636726034,2.25935448821395,2.1574211211440466,5.5792186220139213,5.0443141211759048,,,,2019-02-01T13:26:44.1424852,UNKNOWN,,1,,,
83,S0,277071.89522024058,41.863732673029,42.818351965661392,9604.7830160911944,5.5185928723060105,10.030809694527097,3.4665309552441204,13.182276208880442,23.426426366366005,289213.60746131325,41.500083400198641,59.500542209540114,292371.1863158599,48.500178600987446,39.50007900018776,255595.46194681426,47.000099200225918,48.000118800328316,274779.65433344326,38.500071800156405,36.000063200129127,274153.81749808323,44.500109800356562,34.500063000138006,273178.37045394926,48.00011000028848,59.500583010736776,273343.49467547378,45.000120800444485,49.0001412005512,275253.07270119758,34.500065400144244,42.000092400251042,277607.80337965005,37.000070400151358,29.500044200078161,280872.88211975212,32.500052600097838,35.000062800122237,281421.4965371092,43.500097400267606,38.50008180021257,106.59544101118991,-0.015729877095260164,0.023782327800584088,3.6951639595322492,0.11694665032758596,0.19410332603737451,3.4665309552444632,743.46830314920339,816.16622083817788,,,,2019-02-01T13:30:04.8777662,UNKNOWN,,1,,,
