LIMS export of <Calib_2018.d80>
Version 03-CDate 2018-12-05-12-35-14

Nr;Pos;SampleName;CreationDate;ProcessTime;Amount;Unit;ConcentrateAmount;Unit;Type;State;CalFile;MethodFile;Height;Cell;Hg [ng];Concentration;Unit;DilutionWeight;FinalVolume;CalFactor;DilutionFactor;Statistics;Group;Remark;
68;-;BW;2018-12-03-09-57-24;2018-12-03-10-25-03;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0028;0;0,0187;;;;;1,0000;;;;;
69;-;BW;2018-12-03-11-13-01;2018-12-03-11-13-24;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0132;0;0,0986;;;;;1,0000;;;;;
70;-;manueller BW;2018-12-03-13-53-19;2018-12-03-13-53-19;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0159;0;0,1208;;;;;1,0000;;;;;
71;-;manueller BW;2018-12-03-13-58-58;2018-12-03-13-58-58;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0017;0;0,0104;;;;;1,0000;;;;;
72;-;manueller BW;2018-12-03-14-03-21;2018-12-03-14-03-21;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0023;0;0,0151;;;;;1,0000;;;;;
73;1;manueller BW;2018-12-03-14-13-34;2018-12-03-14-14-11;0,10000;g;0,10000;g;normal;finished;Calib_2018_11.c80;Feststoffe schnell.m80;0,0477;2;55,0877;550,8771;µg/kg;;;1,0000;;;;;
74;2;manueller BW;2018-12-03-14-13-45;2018-12-03-14-18-36;0,10000;g;0,10000;g;normal;finished;Calib_2018_11.c80;Feststoffe schnell.m80;0,6835;1;16,4097;164,0974;µg/kg;;;1,0000;;;;;
75;3;manueller BW;2018-12-03-14-13-46;2018-12-03-14-23-29;0,10000;g;0,10000;g;normal;finished;Calib_2018_11.c80;Feststoffe schnell.m80;0,1906;0;1,4840;14,8396;µg/kg;;;1,0000;;;;;
76;4;manueller BW;2018-12-03-14-13-46;2018-12-03-14-28-24;0,10000;g;0,10000;g;normal;finished;Calib_2018_11.c80;Feststoffe schnell.m80;0,1378;0;1,0717;10,7174;µg/kg;;;1,0000;;;;;
77;5;manueller BW;2018-12-03-14-13-48;2018-12-03-14-33-13;0,10000;g;0,10000;g;normal;finished;Calib_2018_11.c80;Feststoffe schnell.m80;0,0809;0;0,6281;6,2807;µg/kg;;;1,0000;;;;;
78;6;manueller BW;2018-12-03-14-13-49;2018-12-03-14-38-07;0,10000;g;0,10000;g;normal;finished;Calib_2018_11.c80;Feststoffe schnell.m80;0,0884;0;0,6866;6,8659;µg/kg;;;1,0000;;;;;
79;-;manueller BW;2018-12-03-14-25-08;2018-12-03-14-43-04;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0038;0;0,0262;;;;;1,0000;;;;;
